,age,occupation,sex,capital_loss,education_num,capital_gain,marital_status,hours_week,over_50kActual,over_50kPredicted
0,53,1,1,0,10,0,0,45,0,0
1,43,4,1,0,10,0,0,45,0,0
2,38,8,1,0,12,0,2,40,0,0
3,39,12,1,0,13,0,2,45,1,1
4,22,12,0,0,10,0,0,48,0,0
5,38,12,1,0,10,0,4,50,0,0
6,60,10,0,0,13,0,6,60,1,0
7,52,8,0,0,9,0,4,45,0,0
8,35,3,1,0,10,0,4,45,0,0
9,28,1,1,0,10,0,2,40,1,0
10,32,1,1,0,13,0,4,40,0,0
11,23,1,0,0,9,0,4,40,0,0
12,47,3,1,0,16,0,2,50,0,1
13,27,8,1,0,10,0,4,24,0,0
14,59,11,1,0,9,0,2,24,1,0
15,23,1,0,0,10,0,4,15,0,0
16,32,4,0,0,11,0,4,35,0,0
17,33,6,1,0,4,0,2,40,0,0
18,37,7,0,0,10,0,4,40,0,0
19,35,10,1,0,9,0,2,60,0,0
20,27,3,1,0,7,0,5,45,0,0
21,28,3,1,0,9,0,2,40,0,0
22,67,4,1,0,8,0,2,20,0,0
23,38,11,1,0,13,0,2,52,0,0
24,61,3,1,0,9,0,2,40,0,0
25,51,4,0,0,16,0,0,45,1,1
26,29,10,1,0,13,0,2,40,1,1
27,64,1,0,0,10,0,0,40,0,0
28,52,4,1,0,10,0,2,45,1,1
29,37,10,1,0,15,0,2,60,1,1
30,41,1,0,0,13,0,2,40,1,1
31,29,7,1,0,9,0,2,40,0,0
32,33,6,1,0,9,0,5,40,0,0
33,34,8,0,0,6,0,3,30,0,0
34,29,4,1,0,14,0,4,40,0,0
35,18,6,1,0,10,0,4,30,0,0
36,41,10,1,0,14,0,2,40,1,1
37,35,4,0,0,10,0,0,40,0,0
38,51,1,0,0,9,0,4,35,0,0
39,53,6,1,0,5,0,2,41,1,0
40,17,8,1,0,6,0,4,15,0,0
41,55,4,1,0,13,0,2,40,1,1
42,23,6,1,0,9,0,2,40,0,0
43,38,12,0,0,13,0,0,70,1,0
44,21,8,0,0,10,0,4,30,0,0
