,id,age,education_num,capital_gain,capital_loss,hours_week,over_50k,workclass,education_level,marital_status,occupation,relationship,race,sex,country
37897,37898,25,12,0,0,40,0,1,7,0,1,1,4,0,39
33078,33079,31,9,0,0,40,0,4,11,5,13,1,4,0,39
35020,35021,43,10,0,0,40,0,4,15,4,1,1,4,1,39
10085,10086,21,10,0,0,40,0,4,15,4,8,3,4,0,39
27052,27053,47,9,0,0,56,1,6,11,2,5,0,4,1,39
15397,15398,40,11,0,0,50,0,4,8,2,12,0,4,1,39
5464,5465,47,9,3325,0,45,0,4,11,0,4,1,0,0,39
41942,41943,40,13,0,0,35,0,0,9,4,0,4,2,0,39
19698,19699,43,10,0,0,20,0,2,15,0,8,4,4,0,39
39005,39006,30,7,0,0,30,0,4,1,4,14,4,4,1,39
45389,45390,40,11,0,0,40,0,4,8,2,3,0,4,1,39
41961,41962,23,8,0,0,45,0,4,2,4,12,1,4,1,39
15449,15450,19,9,0,0,20,0,4,11,4,8,3,4,0,39
38151,38152,50,9,0,0,40,0,4,11,0,7,4,4,1,39
12006,12007,48,11,0,0,40,0,2,8,2,3,0,4,1,39
43504,43505,36,13,0,0,40,1,4,9,2,12,5,4,0,39
42448,42449,25,9,0,0,30,0,5,11,4,8,2,4,1,39
9400,9401,38,4,0,0,56,0,6,5,2,5,0,4,1,39
15237,15238,22,10,0,0,20,0,4,15,4,12,1,4,0,39
2953,2954,34,13,0,0,30,0,4,9,2,11,0,2,1,39
39426,39427,39,9,0,0,45,1,6,11,2,5,0,4,1,39
28703,28704,25,9,0,0,40,1,4,11,2,3,0,4,1,39
33916,33917,37,10,0,0,50,0,4,15,4,4,1,4,1,13
11589,11590,54,11,5013,0,40,0,4,8,2,3,0,1,1,40
47402,47403,53,13,0,2415,50,1,5,9,2,4,0,4,1,39
12972,12973,22,10,0,0,3,0,6,15,4,10,3,4,0,39
16516,16517,45,10,27828,0,56,1,4,15,0,3,1,4,1,39
18432,18433,37,9,0,0,38,0,4,11,4,7,1,4,1,33
37466,37467,27,9,0,0,40,0,4,11,4,8,1,2,1,39
4072,4073,34,9,0,0,40,0,0,11,4,0,4,2,0,39
20604,20605,23,10,0,0,40,0,4,15,4,8,3,4,0,39
45629,45630,33,9,0,0,55,1,4,11,2,12,0,4,1,39
24215,24216,58,9,0,0,70,0,1,11,2,14,0,4,1,39
9974,9975,46,10,0,0,40,0,2,15,0,7,3,4,0,39
20281,20282,33,9,0,0,36,0,4,11,2,8,0,2,1,14
14625,14626,27,9,0,0,40,0,4,11,3,5,3,4,0,26
29995,29996,30,14,0,0,45,0,4,12,4,13,4,4,1,27
28571,28572,45,12,0,0,40,0,2,7,2,6,0,4,1,39
26612,26613,62,11,0,0,40,0,7,8,6,4,4,2,0,39
18411,18412,29,13,0,0,40,0,4,9,4,3,1,4,1,39
46322,46323,29,10,0,0,34,0,4,15,4,8,1,4,0,39
